created,text,boro,boro_code,street,alarm
2019-03-16T01:15:00Z,"QNS ALLHANDS 220-17 MERRICK BLVD, COMMERCIAL FIRE IN THE DRYER IN A LAUNDRY MAT, UNDER CONTROL",QN,4,220-17 MERRICK BLVD,9
2019-03-15T23:22:13Z,"QNS ALLHANDS 97-48 101 ST, PRIVATE DWELLING FIRE ON THE 2ND AND 3RD FLR, UNDER CONTROL",QN,4,97-48 101 ST,9
2019-03-15T18:16:45Z,"QNS ALLHANDS 240-42 69 AVE, MULTIPLE DWELLING FIRE ON 1ST AND 2ND FLR, UNDER CONTROL",QN,4,240-42 69 AVE,9
2019-03-15T17:57:28Z,"QNS ALLHANDS 240-42 69 AVE, MULTIPLE DWELLING FIRE ON 1 ST FLR,",QN,4,240-42 69 AVE,1
2019-03-15T16:19:59Z,"BKLYN ALLHANDS 5123 11 AVE, PRIVATE DWELLING FIRE ON 2ND FLR, UNDER CONTROL",BK,3,5123 11 AVE,9
2019-03-15T15:52:35Z,"BKLYN ALLHANDS 5123 11 AVE, PRIVATE DWELLING FIR,",BK,3,5123 11 AVE,1
2019-03-14T22:31:45Z,"QNS ALLHANDS 65-28 PARSONS BLVD, MULTIPLE DWELLING FIRE IN COMPACTOR, UNDER CONTROL",QN,4,65-28 PARSONS BLVD,9
2019-03-14T21:59:00Z,"BX ALLHANDS 1057 HOE AVE, MULTIPLE DWELLING FIRE ON 3RD FLR, UNDER CONTROL",BX,2,1057 HOE AVE,9
2019-03-14T21:42:40Z,"BX ALLHANDS 1057 HOE AVE, MULTIPLE DWELLING FIRE ON 3RD FLR,",BX,2,1057 HOE AVE,1
2019-03-14T21:17:06Z,"QNS ALLHANDS 35-12 35 AVE, SCHOOL FIRE 1 GRADE BELOW STREET IN PARKING GARAGE, UNDER CONTROL",QN,4,35-12 35 AVE,9
2019-03-14T21:15:43Z,"BKLYN ALLHANDS 183 CARLTON AVE, MULTIPLE DWELLING FIRE TOP FLR, UNDER CONTROL",BK,3,183 CARLTON AVE,9
2019-03-14T20:41:47Z,"BKLYN ALLHANDS 183 CARLTON AVE, MULTIPLE DWELLING FIRE TOP FLR,",BK,3,183 CARLTON AVE,1
2019-03-14T20:36:12Z,"QNS ALLHANDS 35-12 35 AVE, SCHOOL FIRE 1 GRADE BELOW STREET IN PARKING GARAGE,",QN,4,35-12 35 AVE,1
2019-03-14T06:51:47Z,"MAN ALLHANDS 226 WEST 52 STREET, HOTEL FIRE IN THE B2 LEVEL, UNDER CONTROL",MH,1,226 WEST 52 STREET,9
2019-03-14T06:21:44Z,"MAN ALLHANDS 226 WEST 52 STREET, HOTEL FIRE IN THE B2 LEVEL,",MH,1,226 WEST 52 STREET,1
2019-03-14T06:13:25Z,"MAN 10-77 226 WEST 52 STREET, HOTEL FIRE IN THE B2 LEVEL,",MH,1,NA,0
2019-03-14T05:02:42Z,"MAN ALLHANDS 520 E 90 ST, MULTIPLE DWELLING FIRE ON THE 3RD FLR, UNDER CONTROL",MH,1,520 E 90 ST,9
2019-03-14T04:44:45Z,"MAN ALLHANDS 520 E 90 ST, MULTIPLE DWELLING FIRE ON THE 3RD FLR,",MH,1,520 E 90 ST,1
2019-03-14T02:42:45Z,"QNS ALLHANDS 51-59 47 ST, PRIVATE DWELLING FIRE ON 3RD FLR, UNDER CONTROL",QN,4,51-59 47 ST,9
2019-03-14T02:15:23Z,"BX ALLHANDS 3074 WEBSTER AVE, COMMERCIAL FIRE ON FIRST FLR OF AUTOBODY SHOP, UNDER CONTROL",BX,2,3074 WEBSTER AVE,9
2019-03-14T02:10:28Z,"QNS ALLHANDS 51-59 47 ST, PRIVATE DWELLING FIRE IN BASEMENT,",QN,4,51-59 47 ST,1
2019-03-13T22:55:55Z,"BKLYN ALLHANDS 678 NEW JERSEY AVE, MULTIPLE DWELLING FIRE ON FLR 2, UNDER CONTROL",BK,3,678 NEW JERSEY AVE,9
2019-03-13T22:27:44Z,"BKLYN ALLHANDS 678 NEW JERSEY AVE, MULTIPLE DWELLING FIRE ON FLR 2,",BK,3,678 NEW JERSEY AVE,1
2019-03-13T19:11:56Z,"BKLYN ALLHANDS GERRITSEN AVE, BRUSH FIRE UNDER CONTROL",BK,3,GERRITSEN AVE,9
2019-03-13T18:29:34Z,"BKLYN ALLHANDS 1845 OCEAN AVE, MULTIPLE DWELLING FIRE IN APT 2K, UNDER CONTROL",BK,3,1845 OCEAN AVE,9
2019-03-13T18:06:32Z,"BKLYN ALLHANDS 1845 OCEAN AVE, MULTIPLE DWELLING FIRE,",BK,3,1845 OCEAN AVE,1
2019-03-13T17:54:03Z,"QNS ALLHANDS GRANDCENTRAL PKWY, BRUSH FIRE UNDER CONTROL",QN,4,GRANDCENTRAL PKWY,9
2019-03-13T17:13:40Z,"QNS ALLHANDS GRANDCENTRAL PKWY, BRUSH FIRE",QN,4,GRANDCENTRAL PKWY,1
2019-03-13T15:41:26Z,"QNS ALLHANDS GRAND CENTRAL PARKWAY, BRUSH FIRE (EXIT 11) LARGE AREA OF BRUSH ON FIRE, UNDER CONTROL",QN,4,GRAND CENTRAL PARKWAY,9
2019-03-13T15:17:33Z,"QNS ALLHANDS GRAND CENTRAL PARKWAY, BRUSH FIRE (EXIT 11) LARGE AREA OF BRUSH ON FIRE,",QN,4,GRAND CENTRAL PARKWAY,1
2019-03-13T11:04:12Z,"BKLYN ALLHANDS 17 HILL ST, MULTIPLE DWELLING FIRE IN MULTIPLE DWELLING, UNDER CONTROL",BK,3,17 HILL ST,9
2019-03-12T22:30:22Z,"QNS ALLHANDS 96-22 35 AVE, PRIVATE DWELLING FIRE 2ND FLR, UNDER CONTROL",QN,4,96-22 35 AVE,9
2019-03-12T22:25:57Z,"QNS ALLHANDS 96-22 35 AVE, PRIVATE DWELLING FIRE 2ND FLR,",QN,4,96-22 35 AVE,1
2019-03-12T15:34:09Z,"QNS ALLHANDS 158-11 JEWELL, COMMERCIAL UNDER CONTROL",QN,4,158-11 JEWELL,9
2019-03-12T14:44:26Z,"QNS ALLHANDS 56-11 94 ST, MULTIPLE DWELLING FIRE 1ST FLR, UNDER CONTROL",QN,4,56-11 94 ST,9
2019-03-12T14:21:38Z,"QNS ALLHANDS 56-11 94 ST, MULTIPLE DWELLING FIRE 1ST FLR,",QN,4,56-11 94 ST,1
