input_location,latitude,longitude,bbl,fireBattalion,censusTract2010,communityDistrict,report_date,borough,case_type,cases,individuals
22 BRADHURST AVE,40.82217040210558,-73.94392510127011,1020440002,16, 259  ,110,12/31/2019,Manhattan,ADULT FAMILY,79,165
22 BRADHURST AVE,40.82217040210558,-73.94392510127011,1020440002,16, 259  ,110,12/31/2019,Manhattan,FAMILY WITH CHILDREN,311,882
22 BRADHURST AVE,40.82217040210558,-73.94392510127011,1020440002,16, 259  ,110,12/31/2019,Manhattan,SINGLE ADULT,397,397
22 BRADHURST AVE,40.82217040210558,-73.94392510127011,1020440002,16, 259  ,110,12/31/2019,Manhattan,ADULT FAMILY,79,165
22 BRADHURST AVE,40.82217040210558,-73.94392510127011,1020440002,16, 259  ,110,12/31/2019,Manhattan,FAMILY WITH CHILDREN,311,882
22 BRADHURST AVE,40.82217040210558,-73.94392510127011,1020440002,16, 259  ,110,12/31/2019,Manhattan,SINGLE ADULT,397,397
22 BRADHURST AVE,40.82217040210558,-73.94392510127011,1020440002,16, 259  ,110,12/31/2019,Manhattan,ADULT FAMILY,79,165
22 BRADHURST AVE,40.82217040210558,-73.94392510127011,1020440002,16, 259  ,110,12/31/2019,Manhattan,FAMILY WITH CHILDREN,311,882
22 BRADHURST AVE,40.82217040210558,-73.94392510127011,1020440002,16, 259  ,110,12/31/2019,Manhattan,SINGLE ADULT,397,397
1500 NOBLE AVE,40.83724680170865,-73.87149718589308,2038950001,20, 218  ,209,12/31/2019,Bronx,ADULT FAMILY,80,169
1500 NOBLE AVE,40.83724680170865,-73.87149718589308,2038950001,20, 218  ,209,12/31/2019,Bronx,FAMILY WITH CHILDREN,465,1467
1500 NOBLE AVE,40.83724680170865,-73.87149718589308,2038950001,20, 218  ,209,12/31/2019,Bronx,SINGLE ADULT,304,304
1500 NOBLE AVE,40.83724680170865,-73.87149718589308,2038950001,20, 218  ,209,12/31/2019,Bronx,ADULT FAMILY,80,169
1500 NOBLE AVE,40.83724680170865,-73.87149718589308,2038950001,20, 218  ,209,12/31/2019,Bronx,FAMILY WITH CHILDREN,465,1467
1500 NOBLE AVE,40.83724680170865,-73.87149718589308,2038950001,20, 218  ,209,12/31/2019,Bronx,SINGLE ADULT,304,304
136-71 ROOSEVELT AVE,40.76020529031822,-73.8276072710635,4049800056,52, 871  ,407,12/31/2019,Queens,ADULT FAMILY,9,19
136-71 ROOSEVELT AVE,40.76020529031822,-73.8276072710635,4049800056,52, 871  ,407,12/31/2019,Queens,FAMILY WITH CHILDREN,42,141
136-71 ROOSEVELT AVE,40.76020529031822,-73.8276072710635,4049800056,52, 871  ,407,12/31/2019,Queens,SINGLE ADULT,76,76
136-71 ROOSEVELT AVE,40.76020529031822,-73.8276072710635,4049800056,52, 871  ,407,12/31/2019,Queens,ADULT FAMILY,9,19
136-71 ROOSEVELT AVE,40.76020529031822,-73.8276072710635,4049800056,52, 871  ,407,12/31/2019,Queens,FAMILY WITH CHILDREN,42,141
136-71 ROOSEVELT AVE,40.76020529031822,-73.8276072710635,4049800056,52, 871  ,407,12/31/2019,Queens,SINGLE ADULT,76,76
85 ELLWOOD ST,40.86131551338208,-73.92910230908328,1021740111,13, 285  ,112,12/31/2019,Manhattan,ADULT FAMILY,26,56
85 ELLWOOD ST,40.86131551338208,-73.92910230908328,1021740111,13, 285  ,112,12/31/2019,Manhattan,FAMILY WITH CHILDREN,152,458
85 ELLWOOD ST,40.86131551338208,-73.92910230908328,1021740111,13, 285  ,112,12/31/2019,Manhattan,SINGLE ADULT,217,217
611 E 21 ST,40.63901887763546,-73.95785027702586,3052070056,41, 51601,314,12/31/2019,Brooklyn,ADULT FAMILY,24,53
611 E 21 ST,40.63901887763546,-73.95785027702586,3052070056,41, 51601,314,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,105,302
611 E 21 ST,40.63901887763546,-73.95785027702586,3052070056,41, 51601,314,12/31/2019,Brooklyn,SINGLE ADULT,163,163
611 E 21 ST,40.63901887763546,-73.95785027702586,3052070056,41, 51601,314,12/31/2019,Brooklyn,ADULT FAMILY,24,53
611 E 21 ST,40.63901887763546,-73.95785027702586,3052070056,41, 51601,314,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,105,302
611 E 21 ST,40.63901887763546,-73.95785027702586,3052070056,41, 51601,314,12/31/2019,Brooklyn,SINGLE ADULT,163,163
35 HOLLAND AVE,40.639752701144104,-74.1712600071286,5012720011,22, 31902,501,12/31/2019,Staten Island,ADULT FAMILY,52,110
35 HOLLAND AVE,40.639752701144104,-74.1712600071286,5012720011,22, 31902,501,12/31/2019,Staten Island,FAMILY WITH CHILDREN,196,677
35 HOLLAND AVE,40.639752701144104,-74.1712600071286,5012720011,22, 31902,501,12/31/2019,Staten Island,SINGLE ADULT,171,171
227 KENT AVE,40.716813798048364,-73.96546311721224,3023780006,35, 555  ,301,12/31/2019,Brooklyn,ADULT FAMILY,18,37
227 KENT AVE,40.716813798048364,-73.96546311721224,3023780006,35, 555  ,301,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,95,299
227 KENT AVE,40.716813798048364,-73.96546311721224,3023780006,35, 555  ,301,12/31/2019,Brooklyn,SINGLE ADULT,130,130
227 KENT AVE,40.716813798048364,-73.96546311721224,3023780006,35, 555  ,301,12/31/2019,Brooklyn,ADULT FAMILY,18,37
227 KENT AVE,40.716813798048364,-73.96546311721224,3023780006,35, 555  ,301,12/31/2019,Brooklyn,FAMILY WITH CHILDREN,95,299
227 KENT AVE,40.716813798048364,-73.96546311721224,3023780006,35, 555  ,301,12/31/2019,Brooklyn,SINGLE ADULT,130,130
150-08 87 RD,40.70749972996189,-73.80644864115986,4097060003,50, 236  ,408,12/31/2019,Queens,ADULT FAMILY,9,18
150-08 87 RD,40.70749972996189,-73.80644864115986,4097060003,50, 236  ,408,12/31/2019,Queens,FAMILY WITH CHILDREN,56,173
150-08 87 RD,40.70749972996189,-73.80644864115986,4097060003,50, 236  ,408,12/31/2019,Queens,SINGLE ADULT,107,107
150-08 87 RD,40.70749972996189,-73.80644864115986,4097060003,50, 236  ,408,12/31/2019,Queens,ADULT FAMILY,9,18
150-08 87 RD,40.70749972996189,-73.80644864115986,4097060003,50, 236  ,408,12/31/2019,Queens,FAMILY WITH CHILDREN,56,173
